Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.07     0.00    30098     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, char const*)
  0.00      0.07     0.00    30098     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.07     0.00    29454     0.00     0.00  std::__detail::_Hash_code_base<std::array<int, 4ul>, std::array<int, 4ul>, std::__detail::_Identity, boost::hash<std::array<int, 4ul> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_extract() const
  0.00      0.07     0.00    29454     0.00     0.00  std::__detail::_Hashtable_base<std::array<int, 4ul>, std::array<int, 4ul>, std::__detail::_Identity, std::equal_to<std::array<int, 4ul> >, boost::hash<std::array<int, 4ul> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<true, true, true> >::_M_eq() const
  0.00      0.07     0.00    29454     0.00     0.00  std::__detail::_Hashtable_base<std::array<int, 4ul>, std::array<int, 4ul>, std::__detail::_Identity, std::equal_to<std::array<int, 4ul> >, boost::hash<std::array<int, 4ul> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<true, true, true> >::_M_equals(std::array<int, 4ul> const&, unsigned long, std::__detail::_Hash_node<std::array<int, 4ul>, true>*) const
  0.00      0.07     0.00    29454     0.00     0.00  std::__detail::_Equal_helper<std::array<int, 4ul>, std::array<int, 4ul>, std::__detail::_Identity, std::equal_to<std::array<int, 4ul> >, unsigned long, true>::_S_equals(std::equal_to<std::array<int, 4ul> > const&, std::__detail::_Identity const&, std::array<int, 4ul> const&, unsigned long, std::__detail::_Hash_node<std::array<int, 4ul>, true>*)
  0.00      0.07     0.00    29454     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<std::array<int, 4ul> >, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<0, std::equal_to<std::array<int, 4ul> >, true> const&)
  0.00      0.07     0.00    29133     0.00     0.00  std::array<int, 2ul>::begin() const
  0.00      0.07     0.00    28959     0.00     0.00  std::pair<double, std::array<int, 2ul> >&& std::forward<std::pair<double, std::array<int, 2ul> > >(std::remove_reference<std::pair<double, std::array<int, 2ul> > >::type&)
  0.00      0.07     0.00    28922     0.00     0.00  std::vector<filament*, std::allocator<filament*> >::operator[](unsigned long)
  0.00      0.07     0.00    28745     0.00     0.00  std::__detail::_Hash_node<std::array<int, 4ul>, true>::_M_next() const
  0.00      0.07     0.00    28482     0.00     0.00  std::isfinite(double)
  0.00      0.07     0.00    27667     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.07     0.00    27169     0.00     0.26  std::__cxx11::to_string(double)
  0.00      0.07     0.00    26189     0.00     0.00  std::__detail::_Node_iterator<std::array<int, 2ul>, true, true>::_Node_iterator(std::__detail::_Hash_node<std::array<int, 2ul>, true>*)
  0.00      0.07     0.00    26189     0.00     0.00  std::__detail::_Node_iterator_base<std::array<int, 2ul>, true>::_Node_iterator_base(std::__detail::_Hash_node<std::array<int, 2ul>, true>*)
  0.00      0.07     0.00    25362     0.00     0.00  std::_Vector_base<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >::_M_get_Tp_allocator()
  0.00      0.07     0.00    24822     0.00     0.00  std::array<int, 2ul> const& std::forward<std::array<int, 2ul> const&>(std::remove_reference<std::array<int, 2ul> const&>::type&)
  0.00      0.07     0.00    23961     0.00     0.00  rij_periodic(double, double, double, double)
  0.00      0.07     0.00    23961     0.00     0.00  rij_bc(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, double, double, double, double, double)
  0.00      0.07     0.00    23799     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.07     0.00    23799     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.07     0.00    22739     0.00     0.00  __gnu_cxx::new_allocator<std::array<int, 2ul> >::~new_allocator()
  0.00      0.07     0.00    22739     0.00     0.00  std::allocator<std::array<int, 2ul> >::~allocator()
  0.00      0.07     0.00    22725     0.00     0.00  std::enable_if<std::__and_<std::is_move_constructible<std::array<int, 2ul>*>, std::is_move_assignable<std::array<int, 2ul>*> >::value, void>::type std::swap<std::array<int, 2ul>*>(std::array<int, 2ul>*&, std::array<int, 2ul>*&)
  0.00      0.07     0.00    22244     0.00     0.00  std::array<int, 2ul>::end() const
  0.00      0.07     0.00    20879     0.00     0.00  __gnu_cxx::__aligned_buffer<std::array<int, 4ul> >::_M_ptr()
  0.00      0.07     0.00    20879     0.00     0.00  __gnu_cxx::__aligned_buffer<std::array<int, 4ul> >::_M_addr()
  0.00      0.07     0.00    20879     0.00     0.00  std::__detail::_Hash_node_value_base<std::array<int, 4ul> >::_M_valptr()
  0.00      0.07     0.00    20597     0.00     0.00  bool std::__equal<true>::equal<int>(int const*, int const*, int const*)
  0.00      0.07     0.00    20597     0.00     0.00  bool std::__equal_aux<int const*, int const*>(int const*, int const*, int const*)
  0.00      0.07     0.00    20597     0.00     0.00  bool std::equal<int const*, int const*>(int const*, int const*, int const*)
  0.00      0.07     0.00    20374     0.00     0.00  std::unordered_set<std::array<int, 4ul>, boost::hash<std::array<int, 4ul> >, std::equal_to<std::array<int, 4ul> >, std::allocator<std::array<int, 4ul> > >::end()
  0.00      0.07     0.00    20374     0.00     0.00  bool std::__detail::operator==<std::array<int, 4ul>, true>(std::__detail::_Node_iterator_base<std::array<int, 4ul>, true> const&, std::__detail::_Node_iterator_base<std::array<int, 4ul>, true> const&)
  0.00      0.07     0.00    20209     0.00     0.00  int* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      0.07     0.00    20209     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      0.07     0.00    20209     0.00     0.00  int* std::__copy_move_a<true, int*, int*>(int*, int*, int*)
  0.00      0.07     0.00    20209     0.00     0.00  int* std::__copy_move_a2<true, int*, int*>(int*, int*, int*)
  0.00      0.07     0.00    20209     0.00     0.00  int* std::uninitialized_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      0.07     0.00    20209     0.00     0.00  int* std::__uninitialized_copy_a<std::move_iterator<int*>, int*, int>(std::move_iterator<int*>, std::move_iterator<int*>, int*, std::allocator<int>&)
  0.00      0.07     0.00    20209     0.00     0.00  int* std::copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
